POSTCODE,SUBURB,STATE,PO BOX,COUNTRY,LONG,LAT
200,AUSTRALIAN NATIONAL UNIVERSITY,ACT,1,AU,,
800,DARWIN,NT,0,AU,130.841904,-12.461334
801,DARWIN,NT,0,AU,130.841904,-12.461334
803,WAGAIT BEACH,NT,0,AU,130.7459083,-12.43399126
804,PARAP,NT,0,AU,130.8449977,-12.43267963
810,ALAWA,NT,0,AU,130.8727174,-12.37963652
810,BRINKIN,NT,0,AU,130.8644379,-12.36689984
810,CASUARINA,NT,0,AU,130.8822408,-12.37401354
810,COCONUT GROVE,NT,0,AU,130.8502369,-12.39614166
810,JINGILI,NT,0,AU,130.8728052,-12.38895116
810,LEE POINT,NT,0,AU,130.8908724,-12.33957507
810,LYONS,NT,0,AU,130.8885151,-12.35911956
810,MILLNER,NT,0,AU,130.8625201,-12.39185865
810,MOIL,NT,0,AU,130.8808784,-12.38850726
810,MUIRHEAD,NT,0,AU,130.8959029,-12.35811947
810,NAKARA,NT,0,AU,130.8772793,-12.37054043
810,NIGHTCLIFF,NT,0,AU,130.8405605,-12.38930927
810,RAPID CREEK,NT,0,AU,130.8470176,-12.36966711
810,TIWI,NT,0,AU,130.8756226,-12.35751279
810,WAGAMAN,NT,0,AU,130.8853788,-12.38074815
810,WANGURI,NT,0,AU,130.8881008,-12.37128191
811,CASUARINA,NT,0,AU,130.8822408,-12.37401354
812,ANULA,NT,0,AU,130.89047,-12.39124885
812,BUFFALO CREEK,NT,0,AU,130.9209831,-12.34638634
812,HOLMES,NT,0,AU,130.9268602,-12.38479951
812,KARAMA,NT,0,AU,130.9162161,-12.40008577
812,LEANYER,NT,0,AU,130.9039891,-12.37285827
812,MALAK,NT,0,AU,130.9039683,-12.39286301
812,MARRARA,NT,0,AU,130.895377,-12.39892657
812,WULAGI,NT,0,AU,130.8954753,-12.38341909
813,KARAMA,NT,0,AU,130.9162161,-12.40008577
814,NIGHTCLIFF,NT,0,AU,130.8405605,-12.38930927
815,CHARLES DARWIN UNIVERSITY,NT,0,AU,,
820,BAYVIEW,NT,0,AU,130.8581873,-12.43963026
820,CHARLES DARWIN,NT,0,AU,130.873506,-12.432392
820,COONAWARRA,NT,0,AU,130.9083623,-12.43441192
820,EAST POINT,NT,0,AU,130.8276165,-12.40954774
820,EATON,NT,0,AU,130.880692,-12.4123871
820,FANNIE BAY,NT,0,AU,130.8363811,-12.42677172
820,LARRAKEYAH,NT,0,AU,130.8245014,-12.45646418
820,LUDMILLA,NT,0,AU,130.8489177,-12.41409345
820,PARAP,NT,0,AU,130.8449977,-12.43267963
820,STUART PARK,NT,0,AU,130.8474322,-12.44695928
820,THE GARDENS,NT,0,AU,130.833112,-12.44486067
820,THE NARROWS,NT,0,AU,130.8595897,-12.42655208
820,WINNELLIE,NT,0,AU,130.8848327,-12.42871348
820,WOOLNER,NT,0,AU,130.8518886,-12.43413944
821,WINNELLIE,NT,0,AU,130.8848327,-12.42871348
822,ACACIA HILLS,NT,0,AU,131.1511063,-12.74087379
822,ANGURUGU,NT,0,AU,136.4612078,-13.98119125
822,ANINDILYAKWA,NT,0,AU,136.5909616,-13.91698485
822,ANNIE RIVER,NT,0,AU,133.3848319,-12.9305044
822,BATHURST ISLAND,NT,0,AU,130.3496894,-11.6035121
822,BEES CREEK,NT,0,AU,131.0592623,-12.57958385
822,BELYUEN,NT,0,AU,130.6831805,-12.53818467
822,BLACK JUNGLE,NT,0,AU,131.1942977,-12.50224007
822,BLACKMORE,NT,0,AU,130.9175773,-12.68983104
822,BURRUNDIE,NT,0,AU,131.8449886,-13.50171859
822,BYNOE,NT,0,AU,130.6320309,-12.79290292
822,BYNOE HARBOUR,NT,0,AU,130.5103483,-12.62538633
822,CAMP CREEK,NT,0,AU,130.9320173,-13.17350435
822,CHANNEL ISLAND,NT,0,AU,130.8605303,-12.55219169
822,CHARLES DARWIN,NT,0,AU,130.8766339,-12.45079537
822,CHARLOTTE,NT,0,AU,130.8116588,-12.84045347
822,CLARAVALE,NT,0,AU,131.4120025,-14.5318367
822,COBOURG,NT,0,AU,132.1914189,-11.34530652
